Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
MONTSERRAT;17.7;8.7;5.1;7.5;9.8;10.3;9.8;9.8;8.4;10.1;9.7;8;7.7;7.4;6.3;6;5.4;7.31;7.2;8.8;8.9;8.7;9.5;10.2;10.4;4.5;1.6
MOROCCO;2602;2693;3072;3095;3817;4278;4380;4453;4761;5477;5843;6558;7408;7879;8341;9288;9342;9375;10046;10283;10177;10332;11349;12289;12932;2778;3722
MOZAMBIQUE;NULL;NULL;NULL;NULL;NULL;NULL;323;541;441;470;578;664;771;1193;1461;1718;1902;2113;1886;1661;1552;1639;1447;2743;2019;952;492
MYANMAR;194;490;491;478;435;416;475;487;597;657;660;630;716;731;763;792;816;1059;2044;3081;4681;2907;3443;3551;4364;903;131
NAMIBIA;272;461;502;614;635;656;670;757;695;716;778;833;929;931;980;984;1027;1079;1176;1320;1388;1469;1499;1557;1596;169.6;232.8
NAURU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NEPAL;363;394;422;464;492;464;361;275;338;385;375;384;527;500;510;603;736;803;798;790;539;753;940;1173;1197;230;151
NETHERLANDS;6574;6580;7841;9312;9874;10003;9500;9595;9181;9646;10012;10739;11008;10104;9921;10883;11300;11680;12783;13925;15007;15828;17924;18780;20129;7265;6248
NEW CALEDONIA;86;91;105;104;100;110;101;104;102;100;101;100;103;104;99;99;112;112;108;107;114;116;121;120;131;31;12.4
NEW ZEALAND;NULL;NULL;NULL;1475;1596;1780;1900;2026;2086;2325;2353;2390;2434;2371;2373;2435;2511;2473;2629;2772;3039;3370;3555;3686;3702;948;205
NICARAGUA;281;303;358;406;468;486;483;472;526;615;712;749;800;858;932;1011;1060;1180;1229;1330;1386;1504;1787;1256;1295;384;222.4
NIGER;35;68;68;41;39;50;52;39;55;57;58;60;48;73;66;74;82;94;123;135;135;152;164;157;192;85;NULL
NIGERIA;656;822;611;739;776;813;850;887;924;962;1010;1111;1212;1313;1414;1555;715;486;600;NULL;1255;1889;1927;1966;2005;502;518
NIUE;2.2;1.5;1.8;1.7;1.9;1.9;1.4;2.1;2.7;2.6;2.8;3;3.5;4.7;4.7;6.2;6.1;5;7;7.4;7.7;8.9;9.8;10.5;10.2;1.3;0.2
NORTH MACEDONIA;147;136;121;157;181;224;99;123;158;165;197;202;230;255;259;262;327;351;400;425;486;510;631;707;758;118;294
NORTHERN MARIANA ISLANDS;669;728;685;481;493;517;438;466;452;525;498;429;385;388;345;375;336;399;436;455;475.1;526;656;517;484;87;12.2
NORWAY;2880;2746;2702;3256;3223;3104;3073;3111;3269;3628;3824;4070;4377;4347;4346;4767;4963;4538;4778;4855;5361;5960;6252;5688;5879;1397;1435
OMAN;279;349;376;424;503;571;829;817;1039;1195;891;1066;1223;1373;1521;1441;1018;1241;1392;1611;1909;2335;2316;2301;2500;622.4;464
PAKISTAN;378;369;375;429;432;557;500;498;501;648;798;898;840;823;855;907;1161;966;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
PALAU;53;69;74;64;55;58;54;59;63;89;81;82;88;81;71;85;111;120;108;140;162;138;123;106;94;18.4;NULL
PANAMA;345;362;421;431;457;484;519;534;566;621;702;843;1103;1247;1200;1324;1473;1606;1658;1745;2110;1921;1843;1785;1753;414;618
PAPUA NEW GUINEA;42;61;66;67;67;58;54;54;56;59;69;78;104;114;121;140;158;168;174;182;183;179;139;140;160;39;17
